table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
loop990-none_help_mono__r-ltap,fr,help,mono,multi,990,none,ltap,select,,995,5320,0,start-a,start,1620,
loop990-none_help_stereo__r-ltap,fr,help,stereo,multi,990,none,ltap,select,,995,5320,0,start-a,start,1617,
loop990-none_la_mono__r-ltap,fr,la,mono,multi,990,none,ltap,select,,995,5320,0,start-a,start,1623,
loop990-none_la_stereo__r-ltap,fr,la,stereo,multi,990,none,ltap,select,,995,5320,0,start-a,start,1618,
loopnone-477_help_mono__r-ltap,fr,help,mono,multi,none,477,ltap,,select,1743,4808,0,start-a,start,1642,
loopnone-477_help_mono__r-ltap-soft,fr,help,mono,multi,none,477,ltap-soft,,select,1953,5018,482,start-a,start,2595,
loopnone-477_help_mono__r-ltap-soft-ltap2,fr,help,mono,multi,none,477,ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1665,
loopnone-477_help_mono__r-start0-ltap-soft,fr,help,mono,multi,none,477,start0-ltap-soft,,select,1953,5018,482,start-a,start,2234,
loopnone-477_help_mono__r-start0-ltap-soft-ltap2,fr,help,mono,multi,none,477,start0-ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1528,
loopnone-477_help_mono__r-start0-soft,fr,help,mono,multi,none,477,start0-soft,,select,1952,5017,481,start-a,start,2474,
loopnone-477_help_stereo__r-ltap,fr,help,stereo,multi,none,477,ltap,,select,1743,4808,0,start-a,start,1635,
loopnone-477_help_stereo__r-ltap-soft,fr,help,stereo,multi,none,477,ltap-soft,,select,1953,5018,482,start-a,start,2595,
loopnone-477_help_stereo__r-ltap-soft-ltap2,fr,help,stereo,multi,none,477,ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1655,
loopnone-477_help_stereo__r-start0-ltap-soft,fr,help,stereo,multi,none,477,start0-ltap-soft,,select,1953,5018,482,start-a,start,2225,
loopnone-477_help_stereo__r-start0-ltap-soft-ltap2,fr,help,stereo,multi,none,477,start0-ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1543,
loopnone-477_help_stereo__r-start0-soft,fr,help,stereo,multi,none,477,start0-soft,,select,1952,5017,481,start-a,start,2474,
loopnone-477_la_mono__r-ltap,fr,la,mono,multi,none,477,ltap,,select,1743,4808,0,start-a,start,1600,
loopnone-477_la_mono__r-ltap-soft,fr,la,mono,multi,none,477,ltap-soft,,select,1953,5018,482,start-a,start,2595,
loopnone-477_la_mono__r-ltap-soft-ltap2,fr,la,mono,multi,none,477,ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1650,
loopnone-477_la_mono__r-start0-ltap-soft,fr,la,mono,multi,none,477,start0-ltap-soft,,select,1953,5018,482,start-a,start,2324,
loopnone-477_la_mono__r-start0-ltap-soft-ltap2,fr,la,mono,multi,none,477,start0-ltap-soft-ltap2,,select,1954,5019,482,start-a,start,1550,
loopnone-477_la_mono__r-start0-soft,fr,la,mono,multi,none,477,start0-soft,,select,1952,5017,481,start-a,start,2474,
